primaryID,secondaryID
Q18031031,Q7275775
Q18031034,Q7275786
Q18031038,Q7275783
Q18031052,Q4653779
Q18031056,Q7275911
Q18031080,Q7276232
Q18031084,Q7276296
Q18031107,Q7276601
Q18031108,Q7276600
Q18031113,Q7316764
Q18031119,Q7276665
Q18031120,Q7276667
Q18031121,Q7276668
Q18031134,Q7276800
Q18031135,Q7276836
Q18031159,Q7277235
Q18031207,Q7275811
Q18031226,Q7322414
Q18031232,Q7277522
Q18031234,Q7277487
Q18031249,Q7277502
Q18031250,Q7277505
Q18031255,Q7277506
Q18031277,Q15997113
Q18031284,Q7277577
Q18031293,Q7277586
Q63398,Q21121611
Q171604,Q2807187
Q171604,Q21112208
Q205042,Q21150873
Q205042,Q25381217
Q223739,Q14851958
Q267200,Q539836
Q267200,Q12472130
Q267200,Q21422696
Q267200,Q66134617
Q288382,Q21119133
Q305481,Q18026453
Q305481,Q21097127
Q308856,Q21110870
Q356062,Q21418917
Q408305,Q21110733
Q408712,Q21106291
Q409450,Q21097211
Q409450,Q21142063
Q410485,Q21115114
Q412483,Q21111999
Q413766,Q21143305
Q413988,Q59992226
Q415364,Q21124279
Q416481,Q21115030
Q419337,Q21112230
Q419337,Q85971025
Q419613,Q107231485
Q419983,Q5628933
Q419999,Q10384282
Q419999,Q85968405
Q420038,Q5572358
Q420267,Q21115374
Q421491,Q21110305
Q423510,Q21116133
Q425149,Q21115312
Q648315,Q21112669
Q798033,Q21113031
Q903924,Q21428952
Q907394,Q109044311
Q1198053,Q21115220
Q1500003,Q21110388
Q1620739,Q21116446
Q1634046,Q21104778
Q2034004,Q21116161
Q2045854,Q21106467
Q2067372,Q21121628
Q2100344,Q15997020
Q2100344,Q24783166
Q2248886,Q24720328
Q2248886,Q66563523
Q2630678,Q21114004
Q2640417,Q21113869
Q2805224,Q14914440
Q2807192,Q21112209
Q3067052,Q21106377
Q3162114,Q21116054
Q3357478,Q16777440
Q3357478,Q21151403
Q3486853,Q21108031
Q3648609,Q21114019
Q3714578,Q21111780
Q3780451,Q21118490
Q3931282,Q21426387
Q4035579,Q21118484
Q4042017,Q21120514
Q4046253,Q21130825
Q4210020,Q21110735
Q4236472,Q21149679
Q4253573,Q21109185
Q4262879,Q21120743
Q4377404,Q21116178
Q18030477,Q7119080
Q18030516,Q7187580
Q18030534,Q7389837
Q18030556,Q7119399
Q18030556,Q65295483
Q18030558,Q7119400
Q18041535,Q7550164
Q18041540,Q7670718
Q18041541,Q5008396
Q18041568,Q5629408
Q18041609,Q7119856
Q18041611,Q5010318
Q18041614,Q15996825
Q18041617,Q5007475
Q18041627,Q7277224
Q18041663,Q5424423
Q18041688,Q7072529
Q18041692,Q7390886
Q18041695,Q3852376
Q18041715,Q5972051
Q18041738,Q5424685
Q18041744,Q4836859
Q18041781,Q7394805
Q18041800,Q5629449
Q18041806,Q21152106
Q18041817,Q4653177
Q18041873,Q5011321
Q18041892,Q5426544
Q18041920,Q6459861
Q18041925,Q5514072
Q18041961,Q5008450
Q18041967,Q6460239
Q18041972,Q7275097
Q18042007,Q5205703
Q18042014,Q5011125
Q18042058,Q5007712
Q18042085,Q7118901
Q18042114,Q21152000
Q18042135,Q6459060
Q18042153,Q5012842
Q18042267,Q7118560
Q18042318,Q5205686
Q18042327,Q6459066
Q18042352,Q5013763
Q18042372,Q7118201
Q18042409,Q5324060
Q18042458,Q6327095
Q21108566,Q18378646
Q18056562,Q5008752
Q18056700,Q6714140
Q18056787,Q1522000
Q18056857,Q1521468
Q18056905,Q1571374
Q18057117,Q1426646
Q18057401,Q1426574
Q18026285,Q5513981
Q18026305,Q5514113
Q18026313,Q5514142
Q18026347,Q5514256
Q18026355,Q7002540
Q18026358,Q12746325
Q18026375,Q5514247
Q18026393,Q5514254
Q18026470,Q5514358
Q18026487,Q1486722
Q18026530,Q5514484
Q18026665,Q5514800
Q18026748,Q5629714
Q18026756,Q5629729
Q18026776,Q5628900
Q18026793,Q5628960
Q18026802,Q5629016
Q18026854,Q12746419
Q18026892,Q5629625
Q21139972,Q21423339
Q21140051,Q21433446
Q21146160,Q21978864
Q21151033,Q21443833
Q18031321,Q7277571
Q18031336,Q7277866
Q18031348,Q7388151
Q18031356,Q7388149
Q18031369,Q4650814
Q18031392,Q7389187
Q18031403,Q7389196
Q18031434,Q7671276
Q18031476,Q7390143
Q18031502,Q7394617
Q18031521,Q7390784
Q18031535,Q142650
Q18031538,Q7390905
Q18031540,Q7390907
Q18031541,Q5572587
Q18031553,Q7553397
Q18031579,Q1738527
Q18031581,Q7390928
Q18031582,Q7390791
Q18031587,Q16252729
Q18031596,Q7391052
Q18031616,Q7391790
Q18031632,Q7543127
Q18031634,Q7391897
Q18031666,Q16252760
Q18031697,Q4048885
Q18031732,Q3931285
Q18031739,Q614943
Q18031751,Q7394694
Q18031755,Q7394704
Q18031756,Q7394707
Q18031761,Q7394765
Q18031776,Q7394891
Q18031782,Q7394980
Q18031791,Q7395034
Q18031808,Q7395270
Q18031813,Q7669164
Q18031821,Q7669236
Q18031828,Q7669242
Q18031834,Q4043382
Q18031839,Q7669324
Q18031844,Q7669352
Q18031847,Q7669527
Q18031852,Q7669572
Q18031879,Q7669678
Q18031879,Q7669680
Q18031897,Q7671298
Q18031925,Q7120143
Q18031936,Q7669920
Q18031953,Q7670079
Q18031953,Q21789534
Q18031961,Q7670095
Q18031980,Q7670220
Q18031997,Q7670421
Q18032008,Q7670592
Q18032013,Q7389585
Q18032022,Q7670689
Q18032076,Q15997223
Q18032094,Q7671244
Q18032096,Q15997225
Q21119955,Q47450720
Q21120577,Q25377274
Q18054314,Q1522073
Q18054331,Q6955949
Q18054340,Q65067522
Q18054424,Q5636128
Q18054477,Q21152009
Q18054833,Q6593073
Q18055129,Q7389827
Q18055282,Q5009458
Q18055413,Q4650604
Q18055544,Q1520762
Q21139809,Q21431178
Q21139972,Q21423339
Q21140051,Q21433446
Q18055661,Q8063052
Q18055688,Q1425826
Q18055792,Q7390904
Q18055816,Q5514217
Q18055969,Q5205948
Q18056077,Q21152079
Q18056256,Q8063056
Q18056326,Q7394995
Q18056487,Q16252147
Q4652604,Q21111344
Q4807720,Q21109474
Q4897318,Q21112861
Q5007390,Q21108393
Q5008266,Q21108311
Q5008826,Q21112944
Q5009796,Q21114010
Q5009824,Q21109691
Q5009846,Q21100600
Q5011104,Q21114956
Q5011707,Q21110512
Q5013459,Q21111977
Q5014192,Q28208893
Q5014587,Q21116880
Q5014882,Q21112073
Q5014947,Q21110758
Q5019078,Q14906727
Q5055040,Q21110573
Q5104531,Q21102368
Q5198270,Q21100446
Q5204455,Q21105102
Q5205770,Q21431298
Q5323823,Q21106390
Q5394965,Q21110307
Q5408693,Q21112344
Q5425457,Q21106100
Q5458076,Q21101455
Q5507033,Q21107510
Q5513074,Q21118199
Q5630986,Q21111376
Q5657577,Q21103438
Q5657580,Q21103447
Q5804960,Q21130087
Q6393585,Q21118506
Q6393588,Q21113483
Q6717778,Q21105827
Q6719107,Q21124811
Q6901317,Q21109460
Q6951383,Q21110437
Q6981561,Q21126327
Q7002385,Q21118852
Q7050954,Q21121364
Q7062526,Q21124902
Q7120326,Q21108164
Q7240673,Q39798
Q7240673,Q12957582
Q7240673,Q14761980
Q7240673,Q21143151
Q7240673,Q21170141
Q7240673,Q50265662
Q7240673,Q55185285
Q7240673,Q60495072
Q7273289,Q21102147
Q7310692,Q21125129
Q7317662,Q21111392
Q7392809,Q21137689
Q14913250,Q21113275
Q18026900,Q5629664
Q18026935,Q5630141
Q18026955,Q17152649
Q18026994,Q6738346
Q18026999,Q5630220
Q18027035,Q5952723
Q18027046,Q5426933
Q18027065,Q5384464
Q18027086,Q5635337
Q18027096,Q5635340
Q18027153,Q5635507
Q18027155,Q5635510
Q18027174,Q5635516
Q18027196,Q5635519
Q18027233,Q5635571
Q18027244,Q5635585
Q18027296,Q7120361
Q18027314,Q5635943
Q18027329,Q5635957
Q18027345,Q5635982
Q18027351,Q3639302
Q18027367,Q15996658
Q18027437,Q4639599
Q18027442,Q4639606
Q18027509,Q3788471
Q18027543,Q5970026
Q18027607,Q5970821
Q18027610,Q13668739
Q18027673,Q3146663
Q18027731,Q5971020
Q18027731,Q12384912
Q18027731,Q19607051
Q18027810,Q5971597
Q18027817,Q5971722
Q18027864,Q6046972
Q18027927,Q16252329
Q18027927,Q18374114
Q18027940,Q5972353
Q18028054,Q15996709
Q18028056,Q15996710
Q18028073,Q5974897
Q18028101,Q3906155
Q18028141,Q6327025
Q18028182,Q6327089
Q18028199,Q6327080
Q18028202,Q6327083
Q18028212,Q6327105
Q18028217,Q6327118
Q18028260,Q6330666
Q18028277,Q6331052
Q18043095,Q7907068
Q18043095,Q11224228
Q21096399,Q7572125
Q18046251,Q7118226
Q18046270,Q5512836
Q18045515,Q25203943
Q18045523,Q7117919
Q18045527,Q7120271
Q18045537,Q7671628
Q18045564,Q962351
Q18045567,Q5013905
Q18045579,Q6458728
Q18045600,Q5007482
Q18045631,Q5424653
Q18045668,Q5204521
Q18045671,Q7119960
Q18045680,Q6954905
Q18045716,Q7865344
Q18045725,Q4650521
Q18045730,Q5007572
Q18045770,Q5014971
Q18045778,Q6714452
Q18045840,Q611414
Q18045874,Q7953467
Q18045876,Q7953465
Q18045910,Q6460457
Q18045914,Q6718475
Q18045938,Q5204730
Q18045955,Q65067520
Q18046007,Q15997183
Q18046015,Q4780237
Q18046035,Q6954885
Q18046054,Q4836334
Q18046059,Q5973634
Q18046073,Q1571616
Q18046110,Q16252870
Q18046123,Q15996656
Q18046137,Q1522792
Q18046174,Q15996643
Q18046185,Q5011278
Q18046193,Q5010327
Q18046209,Q5512843
Q18046227,Q5011226
Q18046235,Q7276704
Q18036996,Q7395279
Q18037029,Q7118852
Q18037061,Q5014393
Q18037071,Q4835634
Q18037124,Q7072331
Q18037125,Q4653714
Q18037128,Q7121092
Q18037147,Q6953058
Q18037153,Q5420680
Q18037172,Q7390918
Q18037173,Q7278146
Q18037186,Q7390880
Q18037199,Q6955075
Q18037204,Q5324463
Q18037210,Q7119014
Q18037238,Q7277492
Q18037240,Q5008518
Q18037248,Q7120242
Q18037289,Q5009889
Q18037342,Q5008812
Q18037397,Q7072908
Q18037415,Q17182564
Q18037415,Q18350125
Q18037425,Q7118285
Q18037544,Q7002710
Q18037644,Q4653705
Q18037665,Q21152029
Q18037689,Q7275091
Q18037723,Q5424661
Q18037726,Q7394985
Q18037740,Q8045898
Q18037751,Q17157265
Q18037762,Q7277512
Q18037765,Q7392525
Q18037843,Q6716724
Q18037847,Q5011221
Q18037869,Q7392464
Q18037878,Q15997211
Q18037881,Q4650753
Q18038071,Q5514323
Q18038160,Q5424681
Q18038191,Q6327049
Q18038198,Q5424686
Q18038205,Q5424678
Q18038209,Q5424673
Q18038212,Q7670436
Q18038242,Q6458571
Q18038258,Q1521864
Q18038275,Q7670410
Q18038286,Q1571279
Q18038301,Q7118634
Q18038317,Q1521700
Q18038337,Q1521949
Q18033362,Q2850211
Q18033367,Q7276666
Q18033393,Q1392706
Q18033406,Q7394949
Q18033409,Q7394948
Q18033421,Q5971729
Q18033484,Q4652312
Q18033495,Q7907348
Q18033496,Q7907346
Q18033511,Q5323156
Q18033518,Q5198262
Q18033545,Q7275044
Q18033556,Q5629715
Q18033601,Q1421294
Q18033678,Q7670863
Q18033768,Q15996659
Q18033776,Q7389718
Q18033786,Q7120767
Q18033789,Q15996783
Q18033825,Q7866817
Q18033828,Q7866820
Q18033844,Q7390776
Q18033846,Q7118829
Q18033856,Q6327141
Q18033872,Q5206912
Q18033873,Q1024498
Q18033880,Q7118658
Q18033892,Q4653207
