?primaryID	?secondaryID
Q18049241	Q4068035
Q18049259	Q6459807
Q18049271	Q5010300
Q18049280	Q7389128
Q18049284	Q7275034
Q18049290	Q5427246
Q18049303	Q7276576
Q18046311	Q4835074
Q18046315	Q5014903
Q18046343	Q16252137
Q18046371	Q5323093
Q18046431	Q7863818
Q18046531	Q7276999
Q18046545	Q6955197
Q18046643	Q7072801
Q18046662	Q7277969
Q18046689	Q15996790
Q18046713	Q7121103
Q18046715	Q7953602
Q18046721	Q6327073
Q18046726	Q15997224
Q18046737	Q7118761
Q18046747	Q21151996
Q18046783	Q7394658
Q18046805	Q8063207
Q18046817	Q7669357
Q18046822	Q7389881
Q18046886	Q1521123
Q18046958	Q1571246
Q18047035	Q5007720
Q18047043	Q4652984
Q18047048	Q7119562
Q18047058	Q4653016
Q18047067	Q15996717
Q18047078	Q7670716
Q18047086	Q1426513
Q18047105	Q7388945
Q18047147	Q7669684
Q18047153	Q5009468
Q18047159	Q4650305
Q18067186	Q20771030
Q18067295	Q20768744
Q18056562	Q5008752
Q18056700	Q6714140
Q18056787	Q1522000
Q18056857	Q1521468
Q18056905	Q1571374
Q18057117	Q1426646
Q18057401	Q1426574
Q18034698	Q5513526
Q18034723	Q7119629
Q18034738	Q15997073
Q18034745	Q7389884
Q18034761	Q7389581
Q18034769	Q5424742
Q18034795	Q8062971
Q18034852	Q7072987
Q18034868	Q7390097
Q18034924	Q6715275
Q18034926	Q5009722
Q18034930	Q5425484
Q18034939	Q4036883
Q18034947	Q4650759
Q18034949	Q5513978
Q18034951	Q7669309
Q18034959	Q4048741
Q18034965	Q6715282
Q18034988	Q7388494
Q18034992	Q5205792
Q18034994	Q4650090
Q18034998	Q7389063
Q18035003	Q5205942
Q18035006	Q7121028
Q18035013	Q7120222
Q18035016	Q5013322
Q18035021	Q4653894
Q18035024	Q4650855
Q18035036	Q7390076
Q18035039	Q7120283
Q18035049	Q7275830
Q18035055	Q614580
Q18035063	Q7670952
Q18035070	Q5322579
Q18035072	Q6714741
Q18035078	Q7275816
Q18035082	Q5424457
Q18035092	Q5205047
Q18035100	Q7275962
Q18035101	Q6458542
Q18035104	Q7670873
Q18035107	Q7277234
Q18035124	Q5323135
Q18035127	Q5204722
Q18035154	Q5008612
Q18035157	Q7275050
Q18035167	Q7394630
Q18035174	Q5973642
Q18035246	Q6325400
Q18035293	Q5971595
Q18035299	Q4713854
Q18035316	Q4650053
Q18035338	Q7671996
Q18035356	Q6953276
Q18035375	Q7672003
Q18035379	Q7275948
Q18035391	Q5424378
Q18035392	Q4650480
Q18035413	Q5630997
Q18035414	Q7669211
Q18035450	Q5204716
Q18035455	Q15996705
Q18035460	Q4654669
Q18035466	Q4834682
Q18035469	Q4653013
Q18035477	Q4653891
Q18035495	Q15996824
Q18035510	Q7389129
Q18035516	Q4651784
Q18035550	Q7276670
Q18035554	Q7672043
Q18035555	Q5970971
Q18035557	Q5970973
Q18035587	Q6332576
Q18035604	Q5205556
Q18035618	Q6457122
Q18035626	Q614382
Q18035642	Q5791644
Q18049374	Q1521763
Q18049431	Q1520948
Q18049432	Q7671154
Q18049444	Q5629791
Q18049448	Q17011233
Q18049529	Q7389745
Q18049598	Q15997263
Q18049613	Q2819379
Q18049613	Q4643789
Q18049635	Q5010179
Q18049636	Q7275894
Q18049788	Q5629786
Q18049821	Q5513550
Q18049828	Q1427804
Q18049867	Q1571330
Q18049973	Q7276329
Q18050057	Q5205705
Q18050119	Q5009795
Q18050338	Q7395269
Q18050472	Q7120090
Q18050580	Q6953164
Q18050621	Q5009775
Q18050649	Q6954851
Q18050653	Q1426727
Q18030477	Q7119080
Q18030516	Q7187580
Q18030534	Q7389837
Q18030556	Q7119399
Q18030556	Q65295483
Q18030558	Q7119400
Q18030560	Q7119413
Q18030564	Q1422890
Q18030575	Q7119566
Q18030603	Q7119667
Q18030616	Q7119752
Q18030617	Q7119753
Q18030620	Q7119774
Q18030629	Q7119776
Q18030637	Q7389765
Q18030639	Q3500847
Q18030644	Q7119947
Q18030644	Q19598681
Q18030647	Q5205763
Q18030649	Q7119968
Q18030651	Q7119962
Q18030653	Q7119963
Q18030657	Q7119969
Q18030660	Q7119979
Q18030663	Q7119992
Q18030668	Q7120054
Q18030721	Q7120167
Q18030726	Q7120174
Q18030731	Q7120185
Q18030765	Q7120333
Q18030791	Q6714394
Q18030825	Q15997067
Q18030855	Q7120693
Q18030858	Q7120697
Q18030870	Q7120707
Q18030875	Q7120711
Q18030879	Q7120721
Q18030884	Q7120714
Q18030892	Q7120744
