primaryID,secondaryID
Q372725,Q16115186
Q382984,Q12212863
Q382984,Q12629797
Q420695,Q12421741
Q420868,Q2422826
Q421351,Q72509315
Q421758,Q16123879
Q421873,Q12415783
Q422037,Q12000794
Q422613,Q97254588
Q422698,Q12820139
Q422964,Q12721728
Q422964,Q12819853
Q422964,Q65303915
Q423207,Q65174948
Q423265,Q12429873
Q423265,Q12831969
Q423265,Q18444510
Q423404,Q85990268
Q423404,Q109260870
Q423762,Q12438676
Q423762,Q12968995
Q423842,Q16578076
Q424484,Q21086617
Q424484,Q31091013
Q424631,Q11339314
Q424699,Q3639780
Q424902,Q16634187
Q424972,Q12738446
Q425078,Q12961016
Q425088,Q118118350
Q425193,Q17154625
Q425285,Q64359157
Q340032,Q65162542
Q2104833,Q21099680
Q2159860,Q17638258
Q2191936,Q15634160
Q2278916,Q24185276
Q2303156,Q18944664
Q2303156,Q27236230
Q2345425,Q27113588
Q2345425,Q47293411
Q2365493,Q117362948
Q2509768,Q4917160
Q2509768,Q20965311
Q2552927,Q5673490
Q2552927,Q113348643
Q2579108,Q5974150
Q2579108,Q65164765
Q2594205,Q7168729
Q2601530,Q18384087
Q5299119,Q48566671
Q5299119,Q111375551
Q7216430,Q12368888
Q7234709,Q72501882
Q11236878,Q12826192
Q11236878,Q18696308
Q18208897,Q48566736
Q28856418,Q48566787
Q28859622,Q20411007
Q28859659,Q48566785
Q2754775,Q11713271
Q2754775,Q111367781
Q2754775,Q117686447
Q2815978,Q18611705
Q2815995,Q11066024
Q2816003,Q82099403
Q3047391,Q15726004
Q3066403,Q27461564
Q3133329,Q63395892
Q3239166,Q4493203
Q3239166,Q11698363
Q3239166,Q12424740
Q3239166,Q27110391
Q3303006,Q16045657
Q3342150,Q6043310
Q3347131,Q15633801
Q3347131,Q15726136
Q3347131,Q105156885
Q3407511,Q27159721
Q3408685,Q3732359
Q27144791,Q76511831
Q27144826,Q72515670
Q27144859,Q72489819
Q27144872,Q72491563
Q27144888,Q72472337
Q4747075,Q10492946
Q4747075,Q48566691
Q7391292,Q13165300
Q7391292,Q15839061
Q7391292,Q21287522
