?primaryID	?secondaryID
Q3162114	Q21116054
Q3357478	Q16777440
Q3357478	Q21151403
Q3486853	Q21108031
Q3648609	Q21114019
Q3714578	Q21111780
Q3780451	Q21118490
Q3931282	Q21426387
Q4035579	Q21118484
Q4042017	Q21120514
Q4046253	Q21130825
Q4210020	Q21110735
Q4236472	Q21149679
Q4253573	Q21109185
Q4262879	Q21120743
Q4377404	Q21116178
Q18031321	Q7277571
Q18031336	Q7277866
Q18031348	Q7388151
Q18031356	Q7388149
Q18031369	Q4650814
Q18031392	Q7389187
Q18032200	Q7671585
Q18032212	Q15997233
Q18032220	Q7671951
Q18032223	Q7671990
Q18032228	Q7672027
Q18032251	Q7863817
Q18032257	Q7863827
Q18032266	Q7863840
Q18032274	Q15997251
Q18032287	Q7864649
Q18032294	Q7865505
Q18032296	Q7865571
Q18032334	Q4897099
Q18032336	Q7907493
Q18032340	Q7907557
Q18032357	Q7950420
Q18032392	Q4053330
Q18032406	Q8046083
Q18032408	Q8046081
Q18032410	Q16252859
Q18032451	Q8063191
Q18032473	Q8063229
Q18032512	Q8063155
Q18032532	Q8063162
Q18032539	Q8063165
Q18032565	Q8063166
Q18032603	Q6714360
Q18032649	Q4653836
Q18032676	Q4262876
Q18032712	Q7390222
Q18032713	Q4650978
Q18032719	Q7120992
Q18032754	Q7390769
Q18032793	Q7390759
Q18032817	Q5009890
Q18032822	Q5427448
Q18032836	Q16252280
Q18032838	Q5629733
Q18032839	Q5629739
Q18032851	Q5629750
Q18032854	Q5629757
Q18032856	Q5629758
Q18032865	Q5629760
Q18032909	Q7876173
Q18032935	Q5206913
Q18032940	Q5205067
Q18032947	Q4654901
Q18032961	Q5973587
Q18032971	Q2031321
Q18033067	Q5628977
Q18033085	Q4653307
Q18033117	Q6716443
Q18033120	Q7118832
Q18033147	Q7119569
Q18033163	Q5206118
Q18033169	Q7865204
Q18033176	Q4653130
Q18033179	Q18385808
Q18033181	Q6327110
Q18033200	Q5323167
Q18033201	Q5323166
Q18033202	Q7390892
Q18033211	Q7118881
Q18033229	Q4834426
Q18033234	Q7389833
Q18033249	Q5007691
Q18033257	Q4650983
Q18033260	Q5512942
Q18033263	Q177672
Q18033276	Q7276812
Q18033281	Q5635799
Q18033334	Q2849962
Q21119386	Q6954448
Q21119386	Q97189846
Q21119955	Q47450720
Q14911717	Q16596413
Q14911717	Q18026608
Q14911732	Q17387434
Q14911732	Q17387456
Q14911732	Q18248260
Q14911732	Q21659817
Q17928632	Q5426947
Q17928827	Q5426557
Q17928883	Q5426649
Q18021733	Q5013628
Q18024764	Q5427261
Q18024840	Q5427297
Q18024860	Q5427299
Q18024958	Q1532328
Q18025012	Q4039105
Q18025315	Q4834423
Q18025380	Q5512844
Q18025986	Q5513547
Q18026018	Q5513551
Q18026064	Q5573598
Q18026222	Q5513923
Q18026244	Q5513934
Q21118320	Q168294
Q21119955	Q47450720
Q21120577	Q25377274
Q18052318	Q4651690
Q18052431	Q7866813
Q18052435	Q5628815
Q18052461	Q5012723
Q18052491	Q6715141
Q18052956	Q5514173
Q18053117	Q4044952
Q18053153	Q7672580
Q18053181	Q7119390
Q18053305	Q4044958
Q18053335	Q1521493
Q18053341	Q1521072
Q18053343	Q1521390
Q18053348	Q1521786
Q18053350	Q1522106
Q18053366	Q15997177
Q18053373	Q7277846
Q18053379	Q1521966
Q18053392	Q1521423
Q18056562	Q5008752
Q18056700	Q6714140
Q18056787	Q1522000
Q18056857	Q1521468
Q18056905	Q1571374
Q18057117	Q1426646
Q18057401	Q1426574
Q21150540	Q21422932
Q21151033	Q21443833
Q21123847	Q7275769
Q21110156	Q56297444
Q4652604	Q21111344
Q4807720	Q21109474
Q4897318	Q21112861
Q5007390	Q21108393
Q5008266	Q21108311
Q5008826	Q21112944
Q5009796	Q21114010
Q5009824	Q21109691
Q5009846	Q21100600
Q5011104	Q21114956
Q5011707	Q21110512
Q5013459	Q21111977
Q5014192	Q28208893
Q5014587	Q21116880
Q5014882	Q21112073
Q5014947	Q21110758
Q5019078	Q14906727
Q5055040	Q21110573
Q5104531	Q21102368
Q5198270	Q21100446
Q5204455	Q21105102
Q5205770	Q21431298
Q5323823	Q21106390
Q5394965	Q21110307
Q5408693	Q21112344
Q5425457	Q21106100
Q5458076	Q21101455
Q5507033	Q21107510
Q5513074	Q21118199
Q5630986	Q21111376
Q5657577	Q21103438
Q5657580	Q21103447
Q5804960	Q21130087
Q6393585	Q21118506
Q6393588	Q21113483
Q6717778	Q21105827
Q6719107	Q21124811
Q6901317	Q21109460
Q6951383	Q21110437
Q6981561	Q21126327
Q7002385	Q21118852
Q7050954	Q21121364
Q7062526	Q21124902
Q7120326	Q21108164
Q7240673	Q39798
Q7240673	Q12957582
Q7240673	Q14761980
Q7240673	Q21143151
Q7240673	Q21170141
Q7240673	Q50265662
Q7240673	Q55185285
Q7240673	Q60495072
Q7273289	Q21102147
Q7310692	Q21125129
Q7317662	Q21111392
Q7392809	Q21137689
Q18045515	Q25203943
Q18045523	Q7117919
Q18045527	Q7120271
Q18045537	Q7671628
Q18045564	Q962351
Q18045567	Q5013905
Q18045579	Q6458728
Q18045600	Q5007482
Q18045631	Q5424653
Q18045668	Q5204521
Q18045671	Q7119960
Q18045680	Q6954905
Q18045716	Q7865344
Q18045725	Q4650521
Q18045730	Q5007572
Q18045770	Q5014971
Q18045778	Q6714452
Q18045840	Q611414
Q18045874	Q7953467
Q18045876	Q7953465
Q18045910	Q6460457
Q18045914	Q6718475
Q18045938	Q5204730
Q18045955	Q65067520
Q18046007	Q15997183
Q18046015	Q4780237
Q18046035	Q6954885
Q18046054	Q4836334
Q18046059	Q5973634
Q18046073	Q1571616
Q18046110	Q16252870
Q18046123	Q15996656
Q18046137	Q1522792
Q18046174	Q15996643
Q18046185	Q5011278
Q18046193	Q5010327
Q18046209	Q5512843
Q18046227	Q5011226
Q18046235	Q7276704
Q18046251	Q7118226
Q18046270	Q5512836
Q21149776	Q21418962
Q18047229	Q7670605
Q18047244	Q5425374
Q18047266	Q11071603
Q18047300	Q15996667
Q18047330	Q5514550
Q18047333	Q5007717
Q18047338	Q5323138
Q18047368	Q5514300
Q18047382	Q15997077
Q18047405	Q4653807
Q18047424	Q7876014
Q18047432	Q2025130
