?primaryID	?secondaryID
Q11721976	Q9594765
Q11907460	Q21116400
Q15316702	Q21104779
Q16991234	Q21136130
Q21173708	Q85952530
Q21174723	Q7275716
Q21107568	Q21149570
Q21979028	Q21436982
Q21109992	Q17146168
Q21110241	Q96377558
Q21101413	Q4317220
Q21101989	Q7390049
Q21105694	Q96374180
Q21106468	Q5322952
Q22676900	Q4208117
Q22680259	Q7206988
Q22683580	Q22675369
Q21137412	Q21173391
Q21139609	Q21438451
Q21143725	Q21433665
Q21172663	Q85966774
Q21115919	Q5514214
Q21117784	Q21434941
Q21118512	Q21137507
Q21118512	Q21139761
Q21118881	Q9048337
Q21119054	Q5628782
Q14865947	Q14865961
Q14866180	Q21433495
Q14889244	Q21114468
Q14891582	Q21120495
Q21122079	Q60825236
Q21123939	Q7670339
Q21124066	Q55625617
Q21124698	Q7865055
Q21135133	Q30589899
Q1069599	Q3776924
Q1069599	Q21113968
Q1437419	Q21114877
Q1437419	Q21150816
Q1499999	Q21124695
Q1738547	Q21127142
Q2058153	Q21120643
Q2398308	Q21121817
Q2399575	Q21102702
Q2420520	Q21126202
Q2458503	Q21104733
Q2739079	Q21109687
Q2907609	Q21100589
Q3141769	Q21109202
Q3408221	Q21145207
Q3408221	Q21429304
Q3492926	Q21111902
Q3698322	Q21111940
Q3721138	Q21106785
Q3799301	Q10303027
Q3799301	Q21107762
Q3799489	Q6047019
Q3820163	Q21112588
Q4047839	Q21115002
Q4048886	Q21124445
Q4292840	Q6013604
Q4393893	Q21100910
Q4649847	Q21426035
Q4650073	Q21118790
Q4652964	Q21097180
Q4653884	Q21109612
Q4654859	Q21115308
Q4734974	Q5390469
Q4734974	Q21116224
Q4845302	Q21116765
Q5009628	Q21111907
Q5009781	Q21101456
Q5009782	Q15315728
Q5009931	Q21111793
Q5322400	Q21105291
Q5381899	Q21123839
Q5401857	Q21107305
Q5419638	Q21114342
Q5446439	Q21101056
Q21130033	Q21149375
Q21130426	Q85762409
Q15323346	Q21108206
Q17027916	Q11330241
Q21100543	Q74663289
Q21100716	Q21112326
Q21101155	Q60573989
Q21136509	Q33093423
Q21137408	Q21437234
Q21132604	Q102145612
Q21101422	Q5439270
Q21101441	Q21101443
Q21102593	Q11066488
Q21138552	Q21433512
Q5629488	Q21111426
Q5657584	Q21131653
Q5945383	Q21150617
Q5971562	Q21113776
Q6103521	Q21108324
Q6155967	Q21112333
Q6393609	Q21113485
Q6393610	Q21117038
Q6414726	Q21113522
Q6714930	Q21107565
Q6714959	Q21113642
Q6716597	Q21109358
Q6783904	Q21123886
Q6954349	Q21120947
Q6981560	Q21137788
Q7072378	Q21109806
Q7118491	Q21108308
Q7169504	Q65162065
Q7205492	Q21115560
Q7250941	Q21120687
Q7251428	Q21107685
Q7275752	Q21124353
Q7275753	Q21110531
Q7276721	Q21112775
Q7322422	Q21126166
Q7372319	Q21119589
Q7390572	Q21119852
Q7390819	Q21140456
Q7394879	Q21115152
Q7543599	Q21097246
Q7632670	Q21110520
Q7670154	Q21116185
Q7864648	Q21123545
Q9626712	Q2083089
Q9626712	Q21106491
Q21134726	Q29474813
Q21110621	Q18378157
Q21111363	Q21141127
Q21111755	Q5049053
Q21111925	Q85795100
Q21109089	Q25052627
Q21109089	Q25054222
Q21109692	Q5009831
Q21139802	Q21418973
Q21140224	Q21433667
Q21140280	Q21428397
Q21141143	Q21436553
Q21108649	Q65056834
Q21119865	Q77395715
Q21120321	Q29475764
Q21146254	Q21433640
Q21149177	Q21418853
Q21150243	Q21424269
Q21150456	Q21422579
Q21150782	Q21416514
Q21150953	Q21431254
Q21142601	Q21433663
Q21151350	Q21421100
Q21154415	Q422277
Q21114193	Q17079179
Q21114772	Q7392574
Q21171691	Q74663316
Q21172190	Q4812918
Q141591	Q21116251
Q258915	Q16109476
Q261483	Q21115833
Q283350	Q21109201
Q288705	Q18218543
Q288705	Q18218544
Q288705	Q21422685
Q379764	Q12825757
Q379764	Q22677479
Q408179	Q21116514
Q409961	Q21109320
Q410444	Q21116000
Q410473	Q21110896
Q410798	Q5864333
Q410798	Q21123221
Q411999	Q21113167
Q412214	Q21111196
Q412310	Q12222383
Q412902	Q14865103
Q412902	Q21119273
Q412902	Q85952187
Q415976	Q21123140
Q416095	Q21121701
Q417801	Q21100550
Q419004	Q17907842
Q420930	Q21112228
Q421651	Q21100460
Q422358	Q21123352
Q424394	Q21117420
Q424519	Q14862701
Q424519	Q21152958
Q424837	Q85966771
Q425201	Q21097380
Q426188	Q14865652
Q426188	Q21112417
Q426194	Q21114086
Q575849	Q21109626
Q575849	Q21150249
Q655541	Q21113159
Q737488	Q21115442
Q798252	Q21416507
Q904241	Q21110102
Q904590	Q21123342
Q909371	Q21118622
Q909371	Q98040628
Q909381	Q3799488
Q22675894	Q5513668
Q22677523	Q5513093
Q22679857	Q15996901
Q2496436	Q16557322
Q2496436	Q84947673
Q21137667	Q21433597
Q21139631	Q21418875
Q21140268	Q21438647
Q21140856	Q21171829
Q21204373	Q29475623
Q21979447	Q21140345
Q21111704	Q28135500
Q21112430	Q5427294
Q21112759	Q21981122
Q21117744	Q21438155
Q21117747	Q21421605
Q21117805	Q21441645
Q21117851	Q21433798
Q21114344	Q21143816
Q21114866	Q3492479
Q21126841	Q85966736
Q21126890	Q21138825
Q21116432	Q6714873
Q21118914	Q21987795
Q21119110	Q21150103
Q21119118	Q21151632
Q21120164	Q65295482
Q21130793	Q2877205
Q21132069	Q5072237
Q21147970	Q21428376
Q21136709	Q33093733
Q21137095	Q21428425
Q21137412	Q21173391
Q21137419	Q21436462
Q21137668	Q21421194
Q21139609	Q21438451
Q21124067	Q55643227
Q21124311	Q5572637
Q4037752	Q21436440
Q4042285	Q21115034
Q4044963	Q21111626
Q4044986	Q21109985
Q4115543	Q21152370
Q4201966	Q21097208
Q4216080	Q21114939
Q4650352	Q21116872
Q4653829	Q21111555
Q4834576	Q21100369
Q4835993	Q21106679
Q4897229	Q21115480
Q4940667	Q21110479
Q5009626	Q21111898
Q5009780	Q21123578
Q5011082	Q21115658
Q5013327	Q21143023
Q5048395	Q21102199
Q5049050	Q21100549
Q5156413	Q21428294
Q5185852	Q21113056
Q5513076	Q21118193
Q5513619	Q21116248
Q5513929	Q5613083
Q5513929	Q21106171
Q5514350	Q21119008
Q5864340	Q21123220
Q5864342	Q21115429
Q5864342	Q25106446
Q6047009	Q21106543
Q6393602	Q21113487
Q6591532	Q21109601
Q6715626	Q21121606
Q6720380	Q21120853
Q6947292	Q21122379
Q7115730	Q21112172
Q7117825	Q21120443
Q7118823	Q21123213
Q7199536	Q21124286
Q7278470	Q21126957
Q7390898	Q21127138
Q7391112	Q21119408
Q7391921	Q21106476
Q7392096	Q7560667
Q7394687	Q21112150
Q218706	Q25688296
Q288395	Q21119135
Q306540	Q12670362
Q306540	Q21097171
Q318896	Q21114643
Q318896	Q85952423
Q411008	Q21118820
Q415863	Q21123183
Q416336	Q16088630
Q416336	Q21101865
Q416345	Q21112059
Q417234	Q21116215
Q426181	Q21102470
Q426626	Q5737492
Q658983	Q21119726
Q699999	Q21097282
Q810010	Q21137556
Q905000	Q21106747
Q908765	Q4362147
Q908765	Q21120779
Q909425	Q21435797
Q1979313	Q21097391
Q2206154	Q14916338
Q2463389	Q21097220
Q2639180	Q21115001
Q3046953	Q21114876
Q3122831	Q21109499
Q3610562	Q21109782
Q3737532	Q21110749
Q3820749	Q21106471
Q4035578	Q21114017
Q21134063	Q21147414
Q21134509	Q97358377
Q21134657	Q7671074
Q21141045	Q4734894
Q21150595	Q21422546
Q21202199	Q65120630
Q21141644	Q21422624
Q21143725	Q21433665
Q7553281	Q21124403
Q7671094	Q21110292
Q7671239	Q21113488
Q7671466	Q21124323
Q7671477	Q21143170
Q7671478	Q21149742
Q7844741	Q21119594
Q7916455	Q21139834
Q9141217	Q4684713
Q9141217	Q18023968
Q9141217	Q21104955
Q9141217	Q66023293
Q12063746	Q21108166
Q12746120	Q21096248
Q21172663	Q85966774
Q21101882	Q21150585
Q21103404	Q5971731
Q21104663	Q96391203
Q21108504	Q5513628
Q21106077	Q65066663
Q21106490	Q4059409
Q21106859	Q5146065
Q21106978	Q21151965
Q21107490	Q28455828
Q22676875	Q1585635
Q22676988	Q424034
Q21134233	Q26700537
Q21134233	Q109311815
Q21139116	Q21431983
Q21140730	Q21422913
Q21143090	Q21174981
Q21146773	Q21436443
Q21147674	Q21433484
Q18063217	Q28864755
Q21106034	Q21130631
Q21106034	Q21203958
Q22676633	Q109038183
Q21115156	Q6948002
Q21116062	Q6046950
Q21116933	Q77046041
Q21113013	Q21141650
Q21117765	Q21433420
Q21117824	Q21434735
Q21118203	Q21141662
Q21118358	Q5635974
Q21118931	Q6393612
Q21119449	Q1714113
Q21119449	Q21137195
Q21119993	Q7834573
Q21113423	Q2931189
Q21113975	Q5009608
Q21121672	Q96391208
Q21133604	Q3508183
Q24190	Q21123141
Q155750	Q98094637
Q161537	Q5834615
Q161537	Q21106161
Q315860	Q66590057
Q356093	Q86004364
Q408853	Q21116497
Q408853	Q67791843
Q412228	Q12521623
Q415443	Q21114907
Q415443	Q29314425
Q418404	Q21111904
Q419531	Q3064155
Q420766	Q21438438
Q422579	Q10357987
Q423107	Q3400582
Q423107	Q24781817
Q423107	Q66563466
Q424374	Q21118061
Q424374	Q109257306
Q424693	Q21120781
Q426334	Q21117493
Q903637	Q21119275
Q993804	Q10354534
Q1032902	Q21123588
Q1056532	Q14880378
Q1499996	Q21110754
Q1499998	Q21116935
Q1622348	Q21114008
Q1668565	Q21120106
Q1998562	Q21114020
Q2004050	Q21113508
Q2271947	Q21110876
Q2472777	Q21112710
Q2514134	Q21113822
Q2745522	Q21116127
Q3019283	Q21112575
Q3062781	Q21116170
Q3122834	Q3408207
Q3122834	Q21120409
Q3124896	Q15333144
Q3124896	Q21120618
Q3124896	Q84860989
Q3235015	Q21108224
Q3266424	Q7187442
